월,디비전,국가,거래선,모델,수량,매출,비용1,비용2,비용3,영업이익
202507,Display,UK,Amazon,NeoQLED_75,468,195614,234720,76756,10788,56370
202509,Appliances,UK,Costco,Bespoke_4Door,314,159268,117576,71152,5235,127433
202603,Appliances,PL,BestBuy,Galaxy_ZFold6,278,493462,148062,15273,12844,118737
202603,TV,UK,Amazon,NeoQLED_75,234,378469,6945,46594,1375,14646
202510,Display,UK,Amazon,Galaxy_S24U,435,230067,214048,3916,7698,147592
202601,Mobile,KR,BestBuy,Galaxy_ZFold6,13,174584,170864,15435,7999,68467
202607,TV,US,Costco,Jet_Cleaner,213,47876,144365,67959,20489,107460
202507,Appliances,UK,Target,QLED85_Q80,98,346152,235349,62540,22168,30698
202605,Appliances,KR,Target,OLED77_C4,350,147149,209128,60538,9466,132255
202608,TV,UK,Target,Galaxy_S24U,87,234122,116029,78556,21622,108867
202504,Mobile,PL,BestBuy,Grande_Washer,201,138996,82790,48402,24163,11759
202505,Display,UK,Walmart,Grande_Washer,463,108224,223233,30837,19865,33596
202611,Display,UK,Amazon,Jet_Cleaner,456,65384,84495,63405,3980,79386
202507,Mobile,KR,Walmart,OLED_Monitor34,156,130739,150248,34302,27673,3632
202601,Display,UK,Amazon,Grande_Washer,421,25953,50298,21617,26800,45848
202603,Appliances,KR,Walmart,Bespoke_4Door,305,176594,11718,65865,16306,16412
202511,TV,US,Walmart,Galaxy_S24U,420,118931,223038,53516,3455,87886
202504,Mobile,KR,BestBuy,OLED65_G4,86,298125,7957,24567,24001,103507
202601,TV,US,BestBuy,Galaxy_A55,221,433123,190251,34453,29690,103597
202507,Display,UK,Walmart,SmartMonitor_M8,184,35033,165471,9418,29905,112367
202607,Display,US,Amazon,NeoQLED_75,184,178498,243454,4360,23908,27261
202610,Appliances,DE,Costco,OLED65_G4,289,420251,100964,18104,22832,47506
202502,Appliances,DE,Walmart,Galaxy_S24U,234,124777,162898,66414,27870,48090
202510,Display,KR,BestBuy,Galaxy_ZFold6,119,397392,167001,77056,23337,62247
202601,Display,PL,Amazon,OLED_Monitor34,376,167315,12881,40689,26889,76108
202609,Appliances,UK,Costco,Galaxy_ZFold6,238,26516,187620,19440,5256,-7226
202506,Appliances,DE,Walmart,SmartMonitor_M8,94,461345,203756,24367,3864,90859
202512,Mobile,PL,BestBuy,Bespoke_4Door,37,437234,17633,52569,23471,23717
202512,Appliances,KR,Target,OLED_Monitor34,437,295178,112515,27715,12419,139410
202608,Mobile,US,Amazon,Galaxy_S24U,397,208224,119391,14312,12963,135024
202511,Mobile,UK,Costco,Bespoke_4Door,472,299025,202632,79666,29644,51324
202611,TV,US,BestBuy,Galaxy_S24U,96,25351,108282,63836,15124,-938
202507,Appliances,UK,Target,Jet_Cleaner,156,447623,20370,46679,14317,141650
202501,Mobile,DE,Walmart,Galaxy_A55,474,289298,249667,62993,17878,135470
202501,TV,PL,Amazon,Jet_Cleaner,481,219467,162734,28569,20955,21621
202608,TV,KR,Costco,OLED65_G4,76,101667,209791,49345,13348,32421
202601,Appliances,UK,BestBuy,Galaxy_ZFold6,113,393028,90822,8615,15197,114961
202509,Appliances,DE,Walmart,QLED85_Q80,389,113429,236385,9632,25448,44158
202503,TV,KR,BestBuy,OLED77_C4,39,433317,242827,18194,27158,98968
202507,Mobile,UK,Target,NeoQLED_75,87,95059,133978,43874,23392,147676
202506,Appliances,DE,Walmart,SmartMonitor_M8,130,75542,88252,14978,17239,34703
202508,TV,KR,BestBuy,QLED85_Q80,119,66370,73488,56184,6125,50483
202509,TV,US,Amazon,NeoQLED_75,456,112883,168329,3054,29209,136979
202505,Mobile,PL,Amazon,Jet_Cleaner,310,248873,80093,57912,9740,38698
202501,Display,PL,Costco,Grande_Washer,51,442651,137188,62793,23559,-7820
202607,Mobile,US,Amazon,Galaxy_ZFold6,357,400503,99647,3783,1875,137892
202510,TV,PL,Amazon,Galaxy_ZFold6,403,422848,113690,66891,29372,123214
202512,Mobile,PL,Costco,OLED77_C4,393,234687,83229,73494,29253,74220
202612,Appliances,UK,Walmart,Jet_Cleaner,464,438687,162175,48887,12402,94255
202603,TV,DE,BestBuy,OLED77_C4,328,259694,101552,28804,27068,-1538
202610,Mobile,US,Walmart,NeoQLED_75,374,122925,123523,14825,24371,43791
202612,Mobile,DE,BestBuy,Grande_Washer,473,495617,128123,60169,22568,116917
202509,Mobile,PL,Amazon,Jet_Cleaner,408,484499,40597,40116,26822,25182
202608,Mobile,DE,Target,NeoQLED_75,115,489652,103145,61246,2102,128452
202605,TV,KR,Costco,SmartMonitor_M8,32,251838,85299,65221,17627,72450
202605,Mobile,US,Walmart,Bespoke_4Door,297,284194,169154,56273,9369,147266
202608,Appliances,US,BestBuy,OLED65_G4,159,121899,36626,36644,21293,7312
202512,Display,US,Target,OLED_Monitor34,412,399353,197434,62867,5641,89311
202507,Display,UK,BestBuy,Galaxy_ZFold6,228,376301,65794,78012,16081,39244
202502,Display,DE,Costco,OLED_Monitor34,325,299493,115986,45836,26435,77767
202503,Appliances,DE,Walmart,QLED85_Q80,308,28348,23131,69895,26520,126084
202605,Display,UK,Costco,Galaxy_ZFold6,75,126346,193001,69566,27072,126791
202505,TV,US,Walmart,OLED_Monitor34,220,436001,197493,49398,27250,135324
202605,TV,UK,Costco,QLED85_Q80,381,229498,175566,59576,18126,4252
202612,Appliances,UK,Walmart,Grande_Washer,368,21647,22886,76578,14755,147329
202605,Appliances,PL,Amazon,NeoQLED_75,413,270975,181715,8232,11424,126967
202605,TV,US,Walmart,Galaxy_S24U,95,324622,100748,10586,7140,57156
202502,Appliances,KR,Amazon,Grande_Washer,13,150799,219105,42229,22588,-5394
202502,Appliances,PL,Target,NeoQLED_75,483,453107,215975,42072,15657,147446
202610,TV,US,Walmart,OLED_Monitor34,465,94738,54784,58921,17173,413
202611,TV,US,BestBuy,Galaxy_S24U,321,289162,49929,48514,16624,88491
202505,Mobile,US,Walmart,NeoQLED_75,261,306150,212659,46334,24077,97600
202501,Mobile,DE,Walmart,Grande_Washer,283,15286,116702,7969,12732,370
202501,Display,US,Target,OLED_Monitor34,491,212076,30949,29886,15433,86811
202607,Appliances,US,BestBuy,Galaxy_S24U,413,420353,70939,39365,10184,117704
202502,TV,KR,Amazon,Galaxy_A55,81,435895,187894,44444,27102,23307
202609,Display,US,Walmart,NeoQLED_75,37,211597,9553,79643,11045,-7862
202512,Mobile,UK,Walmart,Galaxy_A55,126,328355,162831,52914,26267,115544
202506,Appliances,US,BestBuy,OLED_Monitor34,259,386871,58103,29000,4566,125891
202611,Display,US,Target,Galaxy_ZFold6,61,234628,51012,4022,21139,106338
202504,Appliances,US,BestBuy,Grande_Washer,343,134951,205174,55645,29091,19696
202611,Display,DE,BestBuy,Bespoke_4Door,19,63858,166473,10695,27295,10636
202511,Appliances,PL,Costco,Galaxy_A55,359,215088,73269,55955,10392,80744
202612,Appliances,DE,Amazon,NeoQLED_75,13,377635,56861,18673,23825,15630
202605,TV,KR,Target,NeoQLED_75,256,144876,159831,48321,20289,5662
202506,Appliances,KR,Walmart,OLED_Monitor34,454,32080,84001,30317,6934,110306
202612,Mobile,UK,Target,OLED77_C4,76,384606,228307,67998,9552,5397
202505,TV,UK,Target,Bespoke_4Door,203,39015,80026,68592,9061,-598
202608,Appliances,KR,BestBuy,OLED77_C4,216,170369,10013,24591,11240,40486
202502,Mobile,PL,Walmart,NeoQLED_75,390,69314,106949,78772,14204,53071
202506,Mobile,PL,Walmart,OLED65_G4,298,494475,33470,11117,4998,59831
202610,Display,KR,Costco,QLED85_Q80,206,64628,177886,30731,19531,54385
202511,TV,US,Walmart,OLED_Monitor34,410,375592,54544,59228,20820,82095
202604,TV,DE,Costco,NeoQLED_75,307,425604,167706,9142,25418,57949
202604,Display,DE,BestBuy,QLED85_Q80,14,88848,248584,63299,7111,59987
202501,Display,US,Amazon,NeoQLED_75,223,215499,27722,12630,14520,27224
202509,Display,PL,Target,SmartMonitor_M8,273,250724,171094,53796,3568,-1661
202506,TV,DE,Target,OLED65_G4,114,303640,116552,38012,17826,19057
202604,Mobile,DE,Walmart,OLED77_C4,250,353568,164774,74863,18008,34630
202503,Mobile,UK,Walmart,Jet_Cleaner,186,238322,137122,17536,14741,66111
202608,Appliances,PL,Target,Galaxy_ZFold6,249,73765,240733,57835,1679,47260
202504,TV,KR,Amazon,QLED85_Q80,225,335401,158863,68524,14473,32515
202607,TV,KR,Amazon,OLED77_C4,30,112936,219801,58816,1328,100511
202503,Display,US,Amazon,Grande_Washer,81,271277,86299,70997,14690,76121
202607,TV,DE,Walmart,Galaxy_A55,293,472139,66596,46778,12196,4898
202608,TV,KR,Walmart,QLED85_Q80,170,257611,81446,68996,27298,29235
202507,Mobile,US,Amazon,OLED65_G4,134,331853,57640,15569,18230,119112
202608,TV,UK,Target,OLED77_C4,216,147354,187363,32546,14181,27854
202509,Mobile,PL,Costco,OLED_Monitor34,60,89359,125974,19570,17451,59366
202501,Mobile,DE,Target,Bespoke_4Door,328,138598,93486,38158,14323,62044
202508,TV,DE,Costco,Galaxy_ZFold6,460,271104,104729,33721,29716,55180
202507,Mobile,US,Amazon,Grande_Washer,213,27874,134351,21634,9530,45556
202606,Display,DE,Walmart,SmartMonitor_M8,169,267910,127136,21836,22204,94065
202508,Mobile,PL,Amazon,Grande_Washer,257,216420,201671,42608,21064,148911
202501,TV,KR,BestBuy,Jet_Cleaner,109,220605,191892,29720,14061,146596
202511,Display,US,Walmart,Galaxy_ZFold6,152,250812,143110,50193,7444,2511
202606,Display,PL,Costco,NeoQLED_75,221,60882,72032,39339,9194,27269
202611,TV,DE,Walmart,OLED65_G4,236,407314,110816,68112,25111,132614
202510,Appliances,KR,Amazon,Galaxy_A55,219,168719,128579,76183,21865,133018
202503,Mobile,PL,Costco,Galaxy_A55,138,127217,246030,2690,11427,82732
202507,Mobile,KR,BestBuy,OLED_Monitor34,109,271313,147249,44510,12736,60602
202604,Appliances,KR,Target,OLED77_C4,233,269894,113224,35023,28955,16801
202604,Display,US,BestBuy,Galaxy_S24U,399,347284,170635,8995,28190,10962
202608,Appliances,DE,Target,Galaxy_S24U,324,182822,59372,18292,3077,147053
202605,TV,UK,Walmart,Galaxy_ZFold6,26,345879,112296,37204,23026,9356
202502,Appliances,UK,Amazon,OLED_Monitor34,455,27602,143401,22528,25359,137670
202501,Display,UK,Amazon,SmartMonitor_M8,163,498579,202096,57771,4610,72340
202604,TV,PL,Target,QLED85_Q80,478,15257,161837,32404,26753,44796
202512,TV,UK,Amazon,QLED85_Q80,196,164959,27962,55885,7109,120248
202505,TV,DE,Walmart,OLED_Monitor34,393,410771,36335,48584,19943,39759
202505,Mobile,UK,BestBuy,Bespoke_4Door,156,498913,218435,41079,22383,149285
202611,Mobile,KR,Walmart,SmartMonitor_M8,250,358834,222901,22321,24529,69871
202509,TV,KR,Walmart,QLED85_Q80,476,99478,101010,36463,10967,50593
202509,Appliances,KR,BestBuy,OLED65_G4,494,253414,99740,79395,11937,91473
202503,Mobile,UK,Costco,QLED85_Q80,100,72438,166662,15333,11082,83611
202607,Display,DE,Costco,Jet_Cleaner,427,198474,37552,30809,3536,99789
202604,Mobile,DE,Target,OLED65_G4,195,484648,166045,63634,20172,73597
202604,Appliances,UK,Target,SmartMonitor_M8,166,248845,8906,2694,20070,139863
202503,Mobile,DE,Costco,Galaxy_ZFold6,395,470037,18117,44904,22866,106339
202608,Appliances,UK,Costco,Galaxy_A55,47,140299,134737,34748,27445,61133
202612,Appliances,DE,Walmart,Jet_Cleaner,92,266768,181844,68287,17454,131846
202610,Mobile,US,Amazon,Galaxy_A55,323,270444,91388,26628,29004,134657
202612,Appliances,US,Target,Bespoke_4Door,247,413920,169486,48773,3285,91543
202501,Appliances,DE,Amazon,Bespoke_4Door,247,130136,157764,45967,3637,52696
202612,Display,KR,BestBuy,OLED77_C4,179,278396,204048,54427,29140,95086
202608,TV,US,Costco,OLED_Monitor34,267,125340,200663,65847,16972,106143
202511,TV,PL,Walmart,QLED85_Q80,153,388083,5954,15372,10804,104931
202605,Mobile,UK,BestBuy,SmartMonitor_M8,277,54819,70726,60259,25161,52954
202508,Appliances,PL,Target,OLED65_G4,230,471775,212909,2675,28181,-3874
202504,Mobile,DE,Walmart,OLED65_G4,299,265494,84405,19121,3803,85867
202506,Mobile,DE,BestBuy,NeoQLED_75,480,434133,152689,74639,13019,69955
202508,TV,KR,BestBuy,OLED_Monitor34,70,131107,178035,74785,13232,144525
202608,Appliances,US,Amazon,Galaxy_A55,72,196950,14764,24634,9093,77797
202503,Mobile,US,Costco,Galaxy_S24U,208,211012,246896,47251,4944,78615
202604,Mobile,PL,Walmart,Galaxy_ZFold6,313,320529,89528,29909,3162,82320
202503,TV,US,Walmart,Grande_Washer,407,391105,184323,60803,17198,149104
202606,TV,DE,Walmart,Galaxy_ZFold6,261,270788,159816,13785,13463,60334
202602,TV,KR,BestBuy,Galaxy_S24U,65,189986,56737,2941,26832,74049
202606,Mobile,UK,Costco,NeoQLED_75,230,263937,161276,8886,13285,27871
202502,Appliances,PL,Walmart,OLED_Monitor34,167,261930,178096,6469,13683,89449
202610,TV,PL,BestBuy,Galaxy_S24U,332,217437,101570,7695,22003,81974
202503,TV,UK,Costco,NeoQLED_75,369,487991,217628,77163,10520,59396
202604,Appliances,DE,BestBuy,Galaxy_ZFold6,20,39827,11073,48112,5310,80490
202509,Mobile,PL,Walmart,Galaxy_ZFold6,83,430639,22500,43853,11788,30432
202504,Mobile,US,Amazon,QLED85_Q80,216,16417,130592,76228,5221,144289
202501,Appliances,US,Walmart,Grande_Washer,236,416148,79505,9533,3860,23667
202504,TV,US,Target,OLED_Monitor34,47,399479,239424,64426,27359,48394
202501,Display,KR,Target,OLED_Monitor34,245,164397,74901,54380,29590,47423
202602,Appliances,UK,Amazon,Jet_Cleaner,377,268253,23660,59959,28348,14506
202609,Display,DE,Walmart,Galaxy_A55,142,206417,234080,34621,2328,149484
202604,Mobile,US,Walmart,Bespoke_4Door,104,17905,102529,15454,25206,-2827
202608,Mobile,US,Costco,Galaxy_S24U,406,300901,44693,7010,4197,19672
202612,Display,KR,Target,Grande_Washer,175,485232,71801,35918,10031,78706
202508,TV,US,Amazon,Jet_Cleaner,39,318610,202208,43870,29319,134415
202507,Display,KR,Costco,OLED77_C4,337,465805,131579,30663,1308,48554
202503,TV,UK,BestBuy,Jet_Cleaner,421,54269,169202,23633,11380,28776
202605,Appliances,PL,BestBuy,Galaxy_ZFold6,119,222785,83300,66969,15102,83415
202501,Mobile,US,Costco,Grande_Washer,260,241266,98825,59618,27137,-1533
202604,Mobile,US,Amazon,OLED65_G4,359,242030,70680,29057,25053,25917
202512,Display,UK,Costco,Bespoke_4Door,184,217022,43557,20848,5801,143748
202607,Appliances,PL,Amazon,Jet_Cleaner,285,308091,146341,10820,14508,121470
202610,Display,KR,Walmart,QLED85_Q80,375,316383,215458,76894,7399,77518
202611,Display,PL,BestBuy,Galaxy_ZFold6,369,387258,139975,41715,19171,14663
202610,Display,US,BestBuy,SmartMonitor_M8,148,450657,86778,55587,3701,114164
202602,TV,UK,Costco,Bespoke_4Door,38,495790,185984,66885,2432,46735
202506,Mobile,DE,Target,OLED77_C4,152,179360,191414,35450,10696,44998
202506,Mobile,UK,Costco,Bespoke_4Door,117,420862,89026,17268,7992,46532
202601,Display,KR,Walmart,Galaxy_ZFold6,88,85502,23014,39473,29915,131059
202607,TV,KR,Costco,QLED85_Q80,164,356418,189016,66960,7647,141150
202610,Mobile,US,Amazon,OLED77_C4,117,94686,115194,61173,11527,89645
202508,TV,UK,Walmart,Galaxy_A55,201,126137,160374,73896,20888,104143
202502,Appliances,DE,BestBuy,NeoQLED_75,127,494328,63542,77107,9653,118984
202609,TV,UK,Amazon,OLED77_C4,476,154223,86539,50172,12611,67075
202501,TV,KR,Costco,Grande_Washer,286,323709,68631,37130,6211,85750
202603,Appliances,UK,Target,Bespoke_4Door,68,15986,85084,62434,17663,112369
202501,Mobile,US,Target,Jet_Cleaner,90,281928,188490,7863,12891,52329
202505,Mobile,KR,Amazon,QLED85_Q80,365,195657,174572,61187,29774,75599
202604,TV,UK,Costco,Galaxy_S24U,426,474085,240871,36209,8473,15746
202607,TV,UK,Target,Grande_Washer,64,265871,60614,27170,11983,61232
202504,Appliances,US,Amazon,Bespoke_4Door,12,230957,60279,44862,15601,-8113
